Year,Quarter,Region,Model,Units Delivered,Average Price (USD),Production Delay (Days),Battery Type,Drive Type,Color
2021,Q1,Europe,Cybertruck,2696,39061.78,55,Long Range,RWD,Silver
2019,Q4,South America,Model 3,1579,41390.18,53,Standard,AWD,Blue
2015,Q2,North America,Cybertruck,1501,81198.5,20,Long Range,AWD,White
2020,Q2,North America,Model X,68,66969.93,9,Standard,AWD,Black
2020,Q2,North America,Cybertruck,1186,62828.37,25,Long Range,AWD,Silver
2020,Q4,South America,Semi,2104,78125.7,18,Performance,AWD,White
2023,Q4,North America,Model X,1516,54998.88,34,Long Range,RWD,Blue
2021,Q4,South America,Model Y,1310,106148.83,8,Long Range,AWD,Blue
2018,Q4,South America,Model X,3790,83381.45,1,Performance,AWD,Black
2021,Q3,Europe,Semi,2070,88885.67,8,Performance,RWD,Blue
2017,Q4,Europe,Model X,3237,49252.74,36,Standard,RWD,Silver
2020,Q3,Australia,Cybertruck,2707,36328.75,20,Long Range,RWD,White
2015,Q3,North America,Model S,3033,52865.8,19,Standard,RWD,White
2017,Q1,North America,Cybertruck,2227,115982.1,9,Performance,AWD,White
2020,Q3,Australia,Model 3,1171,114489.79,35,Long Range,RWD,Red
2022,Q3,South America,Semi,2831,97295.46,27,Long Range,RWD,Green
2017,Q2,South America,Semi,1951,41183.59,15,Standard,AWD,White
2018,Q4,South America,Cybertruck,4069,47246.15,54,Performance,AWD,Blue
2013,Q2,Europe,Semi,4501,103656.98,6,Performance,AWD,Black
2019,Q2,Europe,Semi,4578,74370.82,1,Performance,AWD,Blue
2014,Q1,Asia,Model 3,789,78428.89,49,Performance,RWD,Blue
2023,Q2,South America,Semi,4822,117162.72,53,Standard,RWD,Black
2020,Q2,Europe,Model 3,2713,90532.17,44,Standard,AWD,White
2016,Q4,South America,Semi,1004,50339.14,28,Performance,RWD,Red
2020,Q2,Europe,Model 3,280,104047.27,48,Standard,AWD,White
2022,Q2,Asia,Semi,4263,65375.96,15,Performance,RWD,Red
2015,Q1,North America,Model 3,4778,49235.81,59,Performance,RWD,Green
2019,Q1,South America,Model S,1239,68814.66,40,Standard,AWD,Red
2013,Q4,Australia,Model S,1110,112629.25,2,Standard,AWD,Blue
2020,Q1,Europe,Model Y,2519,101015.14,6,Standard,RWD,Black
2021,Q2,Asia,Model X,3167,106369.92,4,Performance,AWD,Black
2017,Q3,Australia,Model X,1117,53021.07,1,Long Range,AWD,Green
2012,Q4,North America,Model Y,3541,108266.96,1,Long Range,AWD,Black
2017,Q4,Australia,Cybertruck,3748,66328.12,57,Long Range,AWD,White
2013,Q1,South America,Model S,1020,102767.02,32,Standard,AWD,Black
2013,Q3,Australia,Model S,1263,85383.53,55,Performance,AWD,White
2020,Q3,Australia,Model X,1684,103087.26,11,Standard,AWD,Red
2015,Q2,South America,Model Y,1332,104919.76,58,Long Range,RWD,Blue
2017,Q1,North America,Model S,464,72989.17,31,Performance,RWD,Red
2012,Q3,South America,Cybertruck,4161,38221.31,37,Long Range,RWD,Blue
2018,Q1,Europe,Model 3,4022,59365.68,3,Long Range,RWD,Silver
2012,Q1,Asia,Model 3,3579,107090.33,42,Standard,AWD,Black
2022,Q3,North America,Cybertruck,735,54992.91,43,Performance,RWD,Black
2017,Q2,South America,Model Y,4202,66772.94,59,Standard,AWD,Red
2014,Q4,South America,Model X,1404,85991.65,27,Performance,AWD,Blue
2018,Q1,Asia,Model Y,410,77020.22,35,Performance,AWD,Black
2018,Q2,Asia,Semi,420,110205.23,59,Long Range,RWD,Silver
2018,Q2,Europe,Model X,4801,99604.18,52,Performance,RWD,White
2024,Q4,South America,Cybertruck,608,71117.73,39,Standard,AWD,White
2012,Q3,Europe,Model 3,408,113059.8,20,Performance,AWD,Blue
2015,Q3,Asia,Model S,4696,70393.22,54,Standard,RWD,Green
2019,Q2,North America,Model X,702,72642.33,26,Performance,AWD,Black
2020,Q4,South America,Model X,789,62822.76,37,Long Range,RWD,Green
2022,Q1,Europe,Cybertruck,4455,98980.04,35,Long Range,AWD,Blue
2021,Q3,Europe,Model X,4394,117558.35,16,Standard,AWD,White
2016,Q3,Australia,Model X,4064,99282.64,21,Performance,AWD,Silver
2022,Q2,Australia,Model X,2419,39606.35,25,Performance,RWD,Silver
2019,Q4,Asia,Model Y,1150,99923.76,39,Standard,RWD,Red
2019,Q4,Australia,Semi,4101,119289.14,8,Standard,AWD,Black
2013,Q2,North America,Model 3,4381,56354.42,47,Long Range,RWD,Black
2022,Q2,South America,Model X,2124,65772.48,48,Long Range,AWD,Red
2019,Q3,South America,Cybertruck,4074,92984.63,39,Performance,AWD,Blue
2019,Q3,North America,Semi,4497,40166.15,54,Standard,RWD,Black
2016,Q1,North America,Semi,900,78749.69,45,Long Range,RWD,Blue
2020,Q3,North America,Model Y,4987,87660.99,28,Performance,AWD,Red
2020,Q4,South America,Cybertruck,4795,71174.72,37,Performance,AWD,Green
2023,Q4,Asia,Model 3,2243,46237.1,13,Performance,AWD,Silver
2020,Q1,South America,Cybertruck,1787,49261.58,7,Standard,AWD,Red
2020,Q4,Australia,Model S,141,81557.99,52,Long Range,AWD,White
2024,Q2,Europe,Model X,2584,69736.78,37,Long Range,AWD,Red
2023,Q1,Australia,Model Y,3244,70876.95,5,Standard,AWD,Green
2024,Q4,North America,Cybertruck,173,66219.16,35,Standard,RWD,Blue
2022,Q1,Australia,Cybertruck,4025,101435.09,4,Long Range,AWD,White
2024,Q3,Australia,Semi,4326,84071.54,53,Standard,RWD,Red
2019,Q3,North America,Semi,1180,76503.61,24,Performance,AWD,Red
2019,Q3,South America,Cybertruck,659,73188.72,51,Performance,RWD,Green
2017,Q4,North America,Semi,4756,36535.25,46,Standard,AWD,Green
2021,Q3,Asia,Model S,528,42561.55,33,Performance,AWD,Black
2023,Q1,North America,Model S,4755,66603.13,0,Performance,AWD,Blue
2018,Q3,North America,Model S,4013,56796.18,44,Performance,AWD,Silver
2017,Q2,South America,Model X,2335,116306.74,49,Standard,RWD,Green
2024,Q4,Europe,Semi,1550,40841.26,57,Long Range,AWD,Green
2019,Q2,South America,Cybertruck,1844,119126.75,16,Long Range,AWD,Silver
2023,Q1,Australia,Model X,3728,87689.34,22,Standard,RWD,Blue
2021,Q1,Europe,Model S,732,119726.42,29,Performance,RWD,Red
2015,Q3,Asia,Semi,731,93019.97,0,Standard,AWD,Black
2014,Q3,South America,Model X,3655,88865.9,39,Long Range,AWD,Blue
2022,Q1,North America,Model S,3266,59466.88,43,Performance,AWD,White
2013,Q3,South America,Model S,1863,119191.28,21,Performance,AWD,Silver
2021,Q1,North America,Model Y,4729,71420.22,58,Performance,AWD,Red
2023,Q3,Europe,Model S,72,68373.59,29,Long Range,AWD,White
2020,Q3,Europe,Cybertruck,550,88357.59,42,Performance,AWD,Black
2018,Q3,Europe,Model S,1290,110343.87,7,Standard,RWD,Blue
2021,Q4,Asia,Model 3,3287,38946.23,53,Standard,RWD,Green
2013,Q1,Asia,Model 3,1898,95664.01,35,Standard,AWD,Black
2021,Q1,Australia,Model S,968,77766.3,13,Performance,RWD,White
2024,Q3,Europe,Model Y,4432,100074.97,44,Performance,AWD,Red
2023,Q4,Europe,Model S,492,50098.74,13,Performance,RWD,Silver
2023,Q1,North America,Model Y,2998,84068.32,45,Standard,AWD,Green
2014,Q1,Europe,Model X,1638,38521.45,49,Standard,AWD,Blue
2020,Q2,Europe,Model S,237,90399.71,38,Standard,RWD,Green
2014,Q2,South America,Model S,1713,114805.31,26,Long Range,AWD,Silver
2018,Q3,Asia,Model S,2533,84403.15,49,Long Range,RWD,Green
2015,Q2,Europe,Model Y,1153,71876.39,53,Standard,AWD,White
2012,Q4,South America,Semi,853,97891.95,59,Long Range,AWD,Green
2019,Q2,Asia,Semi,521,65996.99,15,Standard,AWD,White
2024,Q4,South America,Semi,2250,77447.26,50,Long Range,RWD,Silver
2023,Q4,North America,Model Y,1759,112005.31,8,Standard,AWD,White
2021,Q4,Australia,Model X,3709,50446.53,54,Standard,AWD,Blue
2021,Q2,Europe,Model 3,3453,104409.13,19,Long Range,RWD,Black
2013,Q1,Asia,Semi,4547,72963.9,58,Performance,RWD,White
2019,Q2,Europe,Semi,257,93777.58,26,Long Range,AWD,Black
2024,Q3,Europe,Model Y,4449,40344.95,59,Long Range,RWD,Green
2018,Q1,South America,Model X,1907,117251.06,44,Standard,AWD,Blue
2023,Q1,South America,Semi,1577,83927.15,40,Long Range,AWD,White
2021,Q2,North America,Model X,3028,107493.45,44,Performance,AWD,White
2024,Q1,South America,Model 3,1687,67396.3,6,Standard,RWD,Red
2017,Q4,Asia,Model 3,1239,52834.72,13,Performance,AWD,Black
2014,Q3,Europe,Model X,453,111518.55,15,Performance,RWD,Black
2024,Q1,South America,Model X,1266,36151.92,42,Standard,AWD,Blue
2012,Q3,Asia,Model X,4708,41181.33,11,Performance,AWD,White
2015,Q3,Australia,Cybertruck,4118,65408.98,11,Standard,RWD,Red
2015,Q2,Australia,Cybertruck,3355,74334.38,36,Performance,RWD,Blue
2019,Q3,South America,Cybertruck,4430,87839.18,41,Performance,RWD,White
2023,Q3,Europe,Model 3,1071,47302.2,10,Standard,AWD,White
2016,Q3,South America,Semi,3615,77195.0,19,Performance,RWD,Silver
2023,Q2,Australia,Model 3,358,85053.38,24,Long Range,RWD,Silver
2023,Q1,Europe,Model X,2915,44360.37,33,Standard,RWD,Blue
2016,Q3,Asia,Model X,1863,61128.28,16,Standard,RWD,Silver
2012,Q2,Europe,Model 3,441,85432.28,32,Long Range,AWD,Silver
2019,Q1,Australia,Model X,2518,111435.21,33,Long Range,AWD,White
2013,Q2,South America,Model 3,4691,39641.65,1,Standard,RWD,Red
2012,Q4,North America,Cybertruck,1839,115272.46,16,Performance,RWD,Silver
2014,Q2,North America,Model 3,1646,61352.33,18,Standard,RWD,Blue
2016,Q4,South America,Model S,1303,110320.28,41,Standard,RWD,Blue
2021,Q3,Australia,Model Y,2821,50399.79,48,Long Range,AWD,Black
2015,Q1,Europe,Model 3,2127,69704.78,28,Standard,AWD,Green
2017,Q2,North America,Model S,1467,112369.99,47,Performance,RWD,Blue
2024,Q1,North America,Model Y,1385,116397.01,42,Standard,RWD,Red
2014,Q3,North America,Model Y,2997,89384.6,14,Performance,RWD,Black
2020,Q2,Europe,Model Y,2090,88312.09,28,Performance,AWD,Black
2013,Q4,North America,Model Y,2436,93954.81,51,Performance,AWD,Silver
2018,Q3,Europe,Model 3,4617,73624.3,10,Standard,RWD,White
2012,Q3,South America,Cybertruck,4138,78228.84,37,Long Range,AWD,White
2014,Q4,Australia,Semi,1763,48596.46,56,Performance,RWD,Blue
2014,Q2,North America,Semi,3071,83679.89,59,Standard,AWD,Silver
2019,Q2,Australia,Model 3,2480,91446.83,11,Standard,RWD,Blue
2021,Q2,Europe,Model S,735,50026.32,9,Standard,AWD,Red
2024,Q1,South America,Model X,2197,82283.12,3,Long Range,RWD,White
2022,Q4,Asia,Model Y,2596,100881.02,7,Performance,RWD,Green
2021,Q3,South America,Model 3,973,58919.38,31,Performance,AWD,Red
2018,Q1,Europe,Semi,67,40302.98,22,Standard,AWD,Silver
2017,Q2,Australia,Cybertruck,1450,91098.7,36,Performance,AWD,Red
2015,Q2,Australia,Model Y,732,77980.95,40,Standard,RWD,Black
2013,Q2,Asia,Model 3,3827,97659.72,46,Standard,RWD,White
2022,Q3,Europe,Model S,1093,74702.56,28,Long Range,AWD,Blue
2023,Q4,Australia,Model X,3320,80378.66,48,Standard,RWD,Silver
2014,Q1,Australia,Model X,3942,47131.15,39,Long Range,RWD,Silver
2021,Q3,Australia,Model X,666,116056.71,12,Performance,RWD,Red
2017,Q1,South America,Model 3,4266,103527.3,56,Standard,RWD,Black
2016,Q3,Asia,Cybertruck,905,100464.66,0,Performance,AWD,Green
2019,Q3,North America,Model S,55,53092.6,43,Long Range,RWD,Green
2020,Q3,Australia,Model Y,4715,39401.84,48,Long Range,AWD,Green
2016,Q3,Asia,Model 3,4977,85601.01,2,Long Range,RWD,White
2018,Q4,Europe,Model X,3535,100290.06,11,Standard,AWD,Silver
2024,Q3,Asia,Cybertruck,1875,86066.49,20,Standard,AWD,Black
2012,Q1,Europe,Model Y,1096,90965.02,60,Standard,AWD,Green
2017,Q3,South America,Model X,1450,50380.29,42,Long Range,AWD,Green
2022,Q1,Asia,Model X,4959,42883.42,28,Long Range,RWD,White
2021,Q4,Europe,Model X,2420,107029.46,38,Standard,AWD,White
2012,Q4,South America,Cybertruck,1484,104027.23,35,Standard,RWD,Black
2022,Q2,Asia,Semi,1904,76023.63,51,Performance,AWD,Red
2024,Q4,South America,Model S,2592,54081.13,52,Long Range,AWD,Silver
2015,Q1,South America,Model 3,2838,48916.7,45,Standard,RWD,Green
2024,Q4,Asia,Semi,4727,64625.01,33,Standard,AWD,Silver
2020,Q3,Asia,Model X,860,102142.14,50,Standard,RWD,Blue
2019,Q1,Asia,Model X,4772,35965.3,52,Standard,AWD,Red
2020,Q1,Australia,Semi,147,100348.19,42,Long Range,AWD,Black
2013,Q2,Australia,Model S,4751,40021.02,33,Long Range,AWD,Silver
2019,Q1,Europe,Semi,2906,78320.85,38,Long Range,AWD,Black
2018,Q4,Europe,Cybertruck,4042,83288.48,22,Long Range,AWD,Red
2024,Q4,Australia,Model S,2860,112699.57,18,Standard,AWD,Blue
2022,Q3,Australia,Model X,401,117901.6,7,Standard,AWD,Green
2022,Q3,Asia,Model Y,1000,79953.83,37,Standard,RWD,Black
2021,Q4,Asia,Model X,2922,44510.3,45,Standard,RWD,Silver
2024,Q1,Europe,Model X,1756,85205.05,48,Performance,AWD,Silver
2012,Q1,South America,Model S,2909,51405.12,52,Performance,RWD,Red
2019,Q2,North America,Model X,2339,40634.2,3,Performance,RWD,Green
2022,Q2,Europe,Model X,4506,115930.03,1,Performance,RWD,Black
2022,Q2,Europe,Model Y,866,44170.0,53,Performance,AWD,Red
2014,Q1,North America,Cybertruck,2796,101251.79,15,Long Range,RWD,Green
2024,Q1,North America,Model Y,1821,87303.55,5,Standard,AWD,Green
2016,Q3,Asia,Semi,3388,102349.51,31,Standard,AWD,Silver
2012,Q2,Asia,Model 3,1808,112466.41,17,Standard,AWD,Green
2013,Q2,Europe,Model Y,3400,41706.74,29,Performance,RWD,Green
2013,Q3,South America,Cybertruck,794,49512.01,27,Performance,RWD,Green
2020,Q3,Asia,Model Y,2170,37009.03,47,Standard,RWD,Green
2024,Q2,Australia,Cybertruck,1097,105856.49,50,Long Range,AWD,White
2014,Q1,Europe,Model 3,4077,93337.13,47,Standard,AWD,White
2021,Q1,South America,Model S,77,78873.43,36,Performance,AWD,Red
2021,Q4,South America,Model S,3230,35757.04,50,Performance,RWD,White
2021,Q3,Europe,Model 3,3609,45092.96,6,Performance,AWD,Blue
2024,Q1,North America,Model X,1716,62535.06,15,Long Range,RWD,Blue
2020,Q2,Asia,Semi,181,103859.63,45,Performance,AWD,Green
2023,Q3,Europe,Model Y,1912,102121.83,22,Performance,AWD,Blue
2020,Q1,Australia,Model S,1497,101835.65,20,Long Range,AWD,White
2020,Q2,Australia,Model S,292,42627.14,56,Performance,AWD,Black
2017,Q2,Asia,Model X,3177,96659.52,56,Long Range,AWD,Black
2015,Q3,Australia,Model 3,2175,54964.67,35,Long Range,AWD,Blue
2017,Q4,Europe,Model 3,2311,118603.03,59,Performance,RWD,Blue
2013,Q3,South America,Cybertruck,4009,119440.85,9,Standard,AWD,White
2017,Q2,Asia,Model X,4759,101780.65,1,Long Range,RWD,White
2015,Q3,Europe,Model X,4856,102061.18,32,Performance,AWD,Green
2014,Q3,Asia,Model 3,2335,41992.25,46,Standard,AWD,Red
2015,Q2,North America,Semi,1701,43927.94,28,Performance,AWD,Red
2012,Q1,Australia,Model 3,2956,93118.15,39,Standard,RWD,Red
2014,Q1,North America,Model Y,1413,82439.5,43,Long Range,AWD,Blue
2014,Q2,Europe,Semi,4930,109724.8,37,Performance,RWD,White
2023,Q3,Asia,Model Y,4150,37675.62,10,Performance,RWD,Green
2019,Q3,Australia,Semi,3917,36693.46,51,Long Range,RWD,Red
2012,Q4,North America,Model 3,1668,65938.19,60,Performance,RWD,Black
2023,Q4,South America,Model S,176,61893.39,14,Standard,AWD,Red
2016,Q1,North America,Model S,2719,36451.46,7,Long Range,RWD,Blue
2014,Q1,Australia,Model Y,2749,103610.3,8,Standard,RWD,Silver
2017,Q3,Australia,Model Y,3888,47014.45,22,Standard,RWD,Red
2015,Q1,Australia,Model X,2564,118189.51,33,Standard,AWD,Blue
2020,Q4,Europe,Model Y,1573,82175.05,53,Long Range,AWD,Blue
2019,Q4,Europe,Model X,4995,45657.33,57,Performance,RWD,Green
2015,Q3,North America,Model X,258,93420.85,60,Performance,AWD,Blue
2023,Q4,South America,Cybertruck,3845,77483.97,21,Long Range,RWD,Black
2014,Q2,Europe,Model Y,896,44045.43,4,Long Range,RWD,Green
2015,Q1,Asia,Model 3,898,106021.38,37,Standard,AWD,Silver
2013,Q4,Australia,Model S,1819,103528.99,5,Long Range,AWD,Blue
2013,Q4,Europe,Cybertruck,2332,101514.18,27,Standard,AWD,Silver
2023,Q2,Australia,Model 3,4481,108200.21,10,Performance,AWD,Blue
2014,Q3,Asia,Model 3,4867,76586.42,39,Performance,RWD,Red
2013,Q2,South America,Model S,1409,50824.52,4,Long Range,RWD,Black
2013,Q1,Europe,Model X,2764,64244.46,3,Standard,AWD,White
2014,Q4,Europe,Model S,4452,37265.44,36,Performance,AWD,Red
2014,Q2,Australia,Model Y,1672,41396.59,29,Long Range,RWD,White
2018,Q4,North America,Semi,1926,43489.34,23,Standard,RWD,Black
2012,Q1,South America,Cybertruck,1347,91086.81,56,Performance,RWD,White
2021,Q1,Asia,Model 3,454,78981.1,28,Long Range,RWD,Green
2024,Q1,South America,Model 3,110,60713.44,34,Long Range,RWD,Red
2017,Q4,South America,Semi,2424,116602.98,17,Standard,RWD,Green
2018,Q4,Europe,Semi,4838,101208.08,23,Long Range,AWD,Green
2022,Q4,Europe,Model X,3713,49628.78,26,Standard,RWD,Black
2023,Q4,North America,Model 3,3407,68872.66,16,Long Range,AWD,Silver
2020,Q2,Europe,Model 3,2490,106090.08,5,Standard,AWD,Blue
2018,Q1,Australia,Model Y,1113,68228.4,13,Performance,RWD,Red
2024,Q4,North America,Model S,2171,59064.71,5,Long Range,RWD,Black
2018,Q1,Australia,Semi,1757,102153.32,38,Long Range,AWD,Silver
2015,Q2,Asia,Semi,1547,38499.99,10,Long Range,AWD,Blue
2024,Q1,Europe,Model X,2453,100680.42,23,Performance,AWD,Blue
2015,Q3,Asia,Model Y,2244,49822.39,25,Performance,RWD,Black
2023,Q1,Asia,Model 3,3782,77941.05,58,Performance,RWD,White
2020,Q1,Asia,Semi,2482,109992.78,5,Performance,RWD,Silver
2018,Q1,Asia,Model 3,3026,70011.28,56,Long Range,AWD,White
2024,Q1,South America,Model 3,1549,97466.12,26,Long Range,RWD,Silver
2016,Q2,South America,Semi,4176,99254.81,25,Standard,RWD,Green
2024,Q1,South America,Model Y,3677,37527.86,25,Standard,AWD,Red
2014,Q4,North America,Cybertruck,1310,70587.76,20,Standard,AWD,Blue
2022,Q2,North America,Semi,1994,116399.51,19,Performance,AWD,Red
2021,Q2,Asia,Model 3,4649,112559.34,47,Long Range,AWD,Red
2022,Q1,Asia,Semi,4372,84291.36,48,Standard,AWD,Blue
2014,Q4,Asia,Model S,3705,109786.02,13,Standard,AWD,Silver
2020,Q3,North America,Semi,207,73899.68,33,Performance,RWD,Silver
2012,Q1,South America,Model 3,187,55409.16,7,Long Range,AWD,Green
2019,Q1,North America,Model 3,139,97541.7,18,Performance,AWD,White
2018,Q1,Europe,Cybertruck,3136,90167.14,28,Standard,AWD,White
2019,Q3,Asia,Semi,183,117526.27,55,Long Range,RWD,Silver
2018,Q1,Australia,Model Y,3847,86367.12,39,Performance,RWD,White
2018,Q2,North America,Model Y,3465,68843.19,29,Performance,RWD,Black
2014,Q3,Australia,Model S,2516,45320.53,16,Performance,AWD,Red
2013,Q3,Asia,Model S,3870,114045.43,9,Performance,AWD,White
2022,Q4,Europe,Model S,4895,87096.29,27,Performance,RWD,Green
2021,Q4,Australia,Model Y,888,87902.75,16,Performance,RWD,Black
2012,Q4,South America,Model Y,3400,43542.84,33,Long Range,RWD,Blue
2013,Q2,Australia,Semi,2636,107285.72,6,Standard,AWD,Blue
2021,Q1,South America,Model 3,4274,76163.74,13,Long Range,AWD,Black
2018,Q2,Europe,Model X,588,113455.42,56,Standard,RWD,Blue
2015,Q3,North America,Cybertruck,651,82459.27,22,Performance,AWD,White
2022,Q4,Australia,Model S,464,59229.8,37,Standard,AWD,Green
2018,Q4,Europe,Semi,376,55276.53,23,Performance,RWD,Green
2023,Q2,Europe,Semi,1989,64116.39,26,Standard,AWD,Red
2021,Q1,South America,Semi,2361,108580.48,5,Standard,AWD,Green
2022,Q4,North America,Model X,3775,102891.23,43,Standard,AWD,Red
2020,Q2,Europe,Model S,3685,98810.78,18,Long Range,AWD,Silver
2012,Q3,Europe,Model S,1179,98668.43,4,Performance,RWD,Red
2018,Q1,Asia,Model S,1108,97129.39,56,Performance,AWD,Green
2014,Q3,Europe,Model S,2198,63812.15,44,Standard,RWD,White
2019,Q3,Asia,Model X,2289,118426.01,37,Standard,AWD,White
2018,Q3,Asia,Cybertruck,1781,59088.45,53,Long Range,RWD,Blue
2024,Q4,North America,Model Y,1193,61315.74,27,Standard,RWD,Red
2015,Q1,North America,Model Y,1937,92748.21,40,Standard,RWD,Blue
2021,Q3,North America,Semi,3125,117333.48,46,Performance,RWD,Black
2020,Q4,Australia,Semi,2510,107047.05,25,Performance,AWD,Blue
2024,Q2,Europe,Semi,3967,107043.02,51,Performance,AWD,Silver
2023,Q4,Europe,Semi,1141,52878.33,55,Long Range,RWD,White
2023,Q2,Europe,Semi,4432,108734.63,41,Standard,AWD,Black
2016,Q4,North America,Cybertruck,4891,79648.06,56,Performance,AWD,Green
2015,Q2,North America,Model S,80,95912.79,25,Long Range,AWD,Black
2020,Q1,Australia,Model Y,2497,97059.63,1,Long Range,AWD,Black
2019,Q3,North America,Model 3,4113,57971.13,43,Performance,RWD,Blue
2022,Q4,Asia,Model Y,631,59031.58,28,Long Range,RWD,Silver
2017,Q1,Asia,Cybertruck,1750,47148.41,26,Long Range,RWD,Black
2013,Q1,Asia,Cybertruck,2411,82802.71,21,Standard,RWD,Red
2017,Q4,Australia,Semi,4178,94167.08,4,Performance,AWD,Black
2021,Q3,Australia,Model X,3880,98545.44,36,Performance,RWD,Blue
2024,Q1,North America,Cybertruck,536,83784.06,9,Long Range,AWD,Blue
2017,Q3,Australia,Model X,868,119251.83,11,Long Range,RWD,Blue
2014,Q2,Asia,Model X,2180,40840.44,32,Performance,RWD,White
2015,Q4,Europe,Model S,2493,103840.68,17,Standard,AWD,Silver
2018,Q1,South America,Model Y,4935,76207.23,54,Performance,RWD,Black
2024,Q4,Australia,Model X,4223,117763.03,0,Performance,RWD,Blue
2024,Q1,Europe,Model S,2948,112464.54,38,Standard,RWD,Silver
2019,Q3,South America,Model X,981,90786.01,4,Performance,RWD,Green
2014,Q4,North America,Semi,3003,96418.58,24,Performance,RWD,Black
2022,Q1,Asia,Model S,4388,113482.45,51,Standard,RWD,Silver
2015,Q2,Australia,Semi,1233,53705.41,30,Standard,RWD,Silver
2022,Q4,North America,Semi,4573,58848.28,29,Long Range,RWD,Green
2015,Q4,South America,Model S,2939,84570.77,20,Long Range,AWD,Silver
2012,Q2,North America,Semi,3973,68880.46,9,Standard,RWD,Green
2022,Q1,South America,Model 3,267,90152.76,31,Standard,RWD,Blue
2023,Q4,Asia,Cybertruck,3770,113312.22,15,Performance,RWD,Red
2024,Q2,North America,Model X,2747,63922.41,2,Performance,RWD,Blue
2013,Q1,Asia,Model S,2577,110459.93,60,Standard,AWD,Black
2019,Q4,South America,Model S,1214,54730.26,19,Performance,RWD,White
2017,Q4,Europe,Model Y,4195,91261.94,55,Standard,RWD,Silver
2017,Q3,Asia,Semi,1390,119654.03,14,Standard,AWD,White
2024,Q4,Australia,Semi,2135,68045.98,46,Standard,RWD,Green
2014,Q1,South America,Semi,820,69381.61,35,Standard,RWD,Red
2024,Q2,South America,Model Y,2414,91477.22,15,Standard,AWD,Black
2018,Q4,Australia,Model S,62,46861.74,20,Performance,RWD,Black
2018,Q4,Asia,Cybertruck,182,42971.92,55,Long Range,AWD,White
2017,Q4,Asia,Model 3,3137,104152.27,7,Performance,RWD,Black
2019,Q4,Asia,Model S,2496,86667.76,1,Standard,RWD,Red
2015,Q1,Asia,Model Y,2025,116319.68,4,Long Range,RWD,White
2019,Q3,Europe,Model S,1147,109362.13,0,Long Range,AWD,Silver
2015,Q1,Asia,Model 3,4820,42166.16,5,Standard,RWD,Black
2018,Q3,Europe,Model X,3770,106310.71,26,Performance,AWD,Black
2020,Q4,Asia,Semi,2795,112346.06,1,Performance,RWD,Black
2014,Q1,North America,Model Y,3526,110891.1,13,Performance,AWD,Black
2022,Q1,North America,Model S,1751,56762.21,19,Standard,AWD,Silver
2014,Q2,Asia,Model 3,4150,68976.86,49,Long Range,RWD,Blue
2015,Q3,South America,Cybertruck,3003,50074.49,30,Standard,RWD,Blue
2024,Q2,South America,Model S,3462,70401.57,6,Long Range,RWD,White
2023,Q4,Europe,Semi,4773,81872.76,21,Performance,AWD,Black
2018,Q2,South America,Model 3,2704,58073.54,60,Performance,RWD,Blue
2024,Q1,Australia,Model S,2953,108137.75,43,Performance,AWD,Red
2024,Q1,North America,Model X,4443,87151.29,52,Long Range,AWD,Silver
2023,Q2,Australia,Semi,2479,64280.18,25,Standard,AWD,Silver
2018,Q4,Asia,Cybertruck,3819,42516.65,26,Long Range,AWD,Blue
2024,Q2,South America,Cybertruck,2279,97167.44,2,Standard,AWD,Black
2023,Q3,North America,Semi,558,116176.14,55,Long Range,RWD,Silver
2012,Q2,South America,Cybertruck,3467,107523.34,59,Standard,RWD,Silver
2016,Q2,North America,Model 3,2665,51785.95,27,Standard,RWD,Silver
2013,Q2,Europe,Semi,850,84552.18,19,Standard,AWD,White
2019,Q1,South America,Model 3,3622,75497.13,32,Long Range,RWD,Blue
2022,Q2,North America,Model X,2376,109543.18,4,Performance,AWD,Red
2019,Q3,North America,Model S,1188,88804.71,18,Long Range,AWD,Green
2012,Q3,North America,Cybertruck,2841,71778.3,22,Performance,RWD,Black
2012,Q3,Australia,Model S,3952,36917.2,2,Standard,RWD,Green
2018,Q1,Asia,Model S,4030,46523.93,9,Standard,RWD,Blue
2019,Q3,Europe,Cybertruck,1627,65422.85,38,Performance,RWD,Red
2024,Q3,Europe,Model X,3679,113849.87,10,Performance,AWD,Red
2016,Q1,South America,Model X,2748,55619.71,4,Performance,RWD,Black
2021,Q2,North America,Model Y,1868,99260.74,31,Performance,AWD,Green
2017,Q3,South America,Model X,2871,112772.16,50,Long Range,RWD,Green
2018,Q1,Australia,Model S,447,68023.12,26,Long Range,AWD,Black
2020,Q1,Europe,Model X,1851,88976.55,32,Long Range,AWD,Blue
2022,Q2,Europe,Semi,1203,111581.1,11,Standard,RWD,Silver
2016,Q1,Australia,Model 3,4137,82863.47,24,Standard,AWD,White
2020,Q2,South America,Model Y,1904,38917.66,1,Standard,RWD,Blue
2024,Q2,North America,Model X,2022,85178.92,57,Long Range,RWD,Silver
2017,Q1,Europe,Model 3,419,70528.88,42,Performance,AWD,Red
2017,Q4,North America,Model Y,1247,50657.5,21,Long Range,RWD,Green
2015,Q2,Europe,Model S,3204,90325.61,29,Long Range,AWD,White
2013,Q4,Australia,Model Y,3496,95477.37,21,Standard,RWD,Black
2021,Q1,Europe,Model 3,2064,40886.04,7,Long Range,RWD,Green
2021,Q2,North America,Model 3,3151,104592.51,33,Performance,RWD,Green
